areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-11-10,9391,9448402
overview,United Kingdom,K02000001,2021-11-09,35541,9439011
overview,United Kingdom,K02000001,2021-11-08,42729,9403470
overview,United Kingdom,K02000001,2021-11-07,30085,9360741
overview,United Kingdom,K02000001,2021-11-06,26843,9330656
overview,United Kingdom,K02000001,2021-11-05,29684,9303813
overview,United Kingdom,K02000001,2021-11-04,32265,9274129
overview,United Kingdom,K02000001,2021-11-03,34955,9241864
overview,United Kingdom,K02000001,2021-11-02,37041,9206909
overview,United Kingdom,K02000001,2021-11-01,44097,9169868
overview,United Kingdom,K02000001,2021-10-31,34002,9125771
overview,United Kingdom,K02000001,2021-10-30,32908,9091769
overview,United Kingdom,K02000001,2021-10-29,39456,9058861
overview,United Kingdom,K02000001,2021-10-28,40565,9019405
overview,United Kingdom,K02000001,2021-10-27,42178,8978840
overview,United Kingdom,K02000001,2021-10-26,41335,8936662
overview,United Kingdom,K02000001,2021-10-25,46578,8895327
overview,United Kingdom,K02000001,2021-10-24,35097,8848749
overview,United Kingdom,K02000001,2021-10-23,34504,8813652
overview,United Kingdom,K02000001,2021-10-22,39942,8779148
overview,United Kingdom,K02000001,2021-10-21,44371,8739206
overview,United Kingdom,K02000001,2021-10-20,50787,8694835
overview,United Kingdom,K02000001,2021-10-19,51553,8644048
overview,United Kingdom,K02000001,2021-10-18,56683,8592495
overview,United Kingdom,K02000001,2021-10-17,42984,8535812
overview,United Kingdom,K02000001,2021-10-16,37261,8492828
overview,United Kingdom,K02000001,2021-10-15,42863,8455567
overview,United Kingdom,K02000001,2021-10-14,45629,8412704
overview,United Kingdom,K02000001,2021-10-13,46978,8367075
overview,United Kingdom,K02000001,2021-10-12,47499,8320097
overview,United Kingdom,K02000001,2021-10-11,49449,8272598
overview,United Kingdom,K02000001,2021-10-10,35824,8223149
overview,United Kingdom,K02000001,2021-10-09,31715,8187325
overview,United Kingdom,K02000001,2021-10-08,35004,8155610
overview,United Kingdom,K02000001,2021-10-07,37880,8120606
overview,United Kingdom,K02000001,2021-10-06,38614,8082726
overview,United Kingdom,K02000001,2021-10-05,38614,8044112
overview,United Kingdom,K02000001,2021-10-04,43070,8005498
overview,United Kingdom,K02000001,2021-10-03,31508,7962428
overview,United Kingdom,K02000001,2021-10-02,25903,7930920
overview,United Kingdom,K02000001,2021-10-01,28638,7905017
overview,United Kingdom,K02000001,2021-09-30,32014,7876379
overview,United Kingdom,K02000001,2021-09-29,34300,7844365
overview,United Kingdom,K02000001,2021-09-28,35931,7810065
overview,United Kingdom,K02000001,2021-09-27,40924,7774134
overview,United Kingdom,K02000001,2021-09-26,31524,7733210
overview,United Kingdom,K02000001,2021-09-25,27859,7701686
overview,United Kingdom,K02000001,2021-09-24,31607,7673827
overview,United Kingdom,K02000001,2021-09-23,35219,7642220
overview,United Kingdom,K02000001,2021-09-22,36160,7607001
overview,United Kingdom,K02000001,2021-09-21,38261,7570841
overview,United Kingdom,K02000001,2021-09-20,40115,7532580
overview,United Kingdom,K02000001,2021-09-19,30545,7492465
overview,United Kingdom,K02000001,2021-09-18,26305,7461920
overview,United Kingdom,K02000001,2021-09-17,29065,7435615
overview,United Kingdom,K02000001,2021-09-16,29172,7406550
overview,United Kingdom,K02000001,2021-09-15,29943,7377378
overview,United Kingdom,K02000001,2021-09-14,30939,7347435
overview,United Kingdom,K02000001,2021-09-13,34121,7316496
overview,United Kingdom,K02000001,2021-09-12,23670,7282375
overview,United Kingdom,K02000001,2021-09-11,23209,7258705
overview,United Kingdom,K02000001,2021-09-10,28729,7235496
overview,United Kingdom,K02000001,2021-09-09,33407,7206767
overview,United Kingdom,K02000001,2021-09-08,35237,7173360
overview,United Kingdom,K02000001,2021-09-07,38027,7138123
overview,United Kingdom,K02000001,2021-09-06,44140,7100096
overview,United Kingdom,K02000001,2021-09-05,31253,7055956
overview,United Kingdom,K02000001,2021-09-04,31362,7024703
overview,United Kingdom,K02000001,2021-09-03,38023,6993341
overview,United Kingdom,K02000001,2021-09-02,41631,6955318
overview,United Kingdom,K02000001,2021-09-01,42833,6913687
overview,United Kingdom,K02000001,2021-08-31,44474,6870854
overview,United Kingdom,K02000001,2021-08-30,34175,6826380
overview,United Kingdom,K02000001,2021-08-29,25695,6792205
overview,United Kingdom,K02000001,2021-08-28,27169,6766510
overview,United Kingdom,K02000001,2021-08-27,33178,6739341
overview,United Kingdom,K02000001,2021-08-26,36989,6706163
overview,United Kingdom,K02000001,2021-08-25,38102,6669174
overview,United Kingdom,K02000001,2021-08-24,37024,6631072
overview,United Kingdom,K02000001,2021-08-23,39044,6594048
overview,United Kingdom,K02000001,2021-08-22,28295,6555004
overview,United Kingdom,K02000001,2021-08-21,28091,6526709
overview,United Kingdom,K02000001,2021-08-20,31672,6498618
overview,United Kingdom,K02000001,2021-08-19,35824,6466946
overview,United Kingdom,K02000001,2021-08-18,38009,6431122
overview,United Kingdom,K02000001,2021-08-17,37192,6393113
overview,United Kingdom,K02000001,2021-08-16,36185,6355921
overview,United Kingdom,K02000001,2021-08-15,24920,6319736
overview,United Kingdom,K02000001,2021-08-14,24645,6294816
overview,United Kingdom,K02000001,2021-08-13,28442,6270171
overview,United Kingdom,K02000001,2021-08-12,31129,6241729
overview,United Kingdom,K02000001,2021-08-11,32737,6210600
overview,United Kingdom,K02000001,2021-08-10,30921,6177863
overview,United Kingdom,K02000001,2021-08-09,31530,6146942
overview,United Kingdom,K02000001,2021-08-08,22419,6115412
overview,United Kingdom,K02000001,2021-08-07,22116,6092993
overview,United Kingdom,K02000001,2021-08-06,27538,6070877
overview,United Kingdom,K02000001,2021-08-05,31075,6043339
overview,United Kingdom,K02000001,2021-08-04,31724,6012264
overview,United Kingdom,K02000001,2021-08-03,29816,5980540
overview,United Kingdom,K02000001,2021-08-02,29275,5950724
overview,United Kingdom,K02000001,2021-08-01,20516,5921449
overview,United Kingdom,K02000001,2021-07-31,20153,5900933
overview,United Kingdom,K02000001,2021-07-30,24283,5880780
overview,United Kingdom,K02000001,2021-07-29,27904,5856497
overview,United Kingdom,K02000001,2021-07-28,29657,5828593
overview,United Kingdom,K02000001,2021-07-27,29049,5798936
overview,United Kingdom,K02000001,2021-07-26,29391,5769887
overview,United Kingdom,K02000001,2021-07-25,21772,5740496
overview,United Kingdom,K02000001,2021-07-24,22480,5718724
overview,United Kingdom,K02000001,2021-07-23,27275,5696244
overview,United Kingdom,K02000001,2021-07-22,30746,5668969
overview,United Kingdom,K02000001,2021-07-21,34932,5638223
overview,United Kingdom,K02000001,2021-07-20,39066,5603291
overview,United Kingdom,K02000001,2021-07-19,46902,5564225
overview,United Kingdom,K02000001,2021-07-18,35503,5517323
overview,United Kingdom,K02000001,2021-07-17,37852,5481820
overview,United Kingdom,K02000001,2021-07-16,54237,5443968
overview,United Kingdom,K02000001,2021-07-15,60765,5389731
overview,United Kingdom,K02000001,2021-07-14,53820,5328966
overview,United Kingdom,K02000001,2021-07-13,46735,5275146
overview,United Kingdom,K02000001,2021-07-12,43647,5228411
overview,United Kingdom,K02000001,2021-07-11,30027,5184764
overview,United Kingdom,K02000001,2021-07-10,27880,5154737
overview,United Kingdom,K02000001,2021-07-09,32219,5126857
overview,United Kingdom,K02000001,2021-07-08,33352,5094638
overview,United Kingdom,K02000001,2021-07-07,37821,5061286
overview,United Kingdom,K02000001,2021-07-06,35368,5023465
overview,United Kingdom,K02000001,2021-07-05,34196,4988097
overview,United Kingdom,K02000001,2021-07-04,24672,4953901
overview,United Kingdom,K02000001,2021-07-03,23565,4929229
overview,United Kingdom,K02000001,2021-07-02,25782,4905664
overview,United Kingdom,K02000001,2021-07-01,28117,4879882
overview,United Kingdom,K02000001,2021-06-30,28328,4851765
overview,United Kingdom,K02000001,2021-06-29,27595,4823437
overview,United Kingdom,K02000001,2021-06-28,27749,4795842
overview,United Kingdom,K02000001,2021-06-27,18129,4768093
overview,United Kingdom,K02000001,2021-06-26,15973,4749964
overview,United Kingdom,K02000001,2021-06-25,17781,4733991
overview,United Kingdom,K02000001,2021-06-24,18299,4716210
overview,United Kingdom,K02000001,2021-06-23,17906,4697911
overview,United Kingdom,K02000001,2021-06-22,17007,4680005
overview,United Kingdom,K02000001,2021-06-21,15957,4662998
overview,United Kingdom,K02000001,2021-06-20,9873,4647041
overview,United Kingdom,K02000001,2021-06-19,8255,4637168
overview,United Kingdom,K02000001,2021-06-18,10054,4628913
overview,United Kingdom,K02000001,2021-06-17,10774,4618859
overview,United Kingdom,K02000001,2021-06-16,10772,4608085
overview,United Kingdom,K02000001,2021-06-15,10501,4597313
overview,United Kingdom,K02000001,2021-06-14,10106,4586812
overview,United Kingdom,K02000001,2021-06-13,6954,4576706
overview,United Kingdom,K02000001,2021-06-12,6115,4569752
overview,United Kingdom,K02000001,2021-06-11,7440,4563637
overview,United Kingdom,K02000001,2021-06-10,7838,4556197
overview,United Kingdom,K02000001,2021-06-09,8002,4548359
overview,United Kingdom,K02000001,2021-06-08,7671,4540357
overview,United Kingdom,K02000001,2021-06-07,7741,4532686
overview,United Kingdom,K02000001,2021-06-06,5406,4524945
overview,United Kingdom,K02000001,2021-06-05,4623,4519539
overview,United Kingdom,K02000001,2021-06-04,5704,4514916
overview,United Kingdom,K02000001,2021-06-03,6097,4509212
overview,United Kingdom,K02000001,2021-06-02,6050,4503115
overview,United Kingdom,K02000001,2021-06-01,5236,4497065
overview,United Kingdom,K02000001,2021-05-31,3781,4491829
overview,United Kingdom,K02000001,2021-05-30,3095,4488048
overview,United Kingdom,K02000001,2021-05-29,2932,4484953
overview,United Kingdom,K02000001,2021-05-28,3489,4482021
overview,United Kingdom,K02000001,2021-05-27,3638,4478532
overview,United Kingdom,K02000001,2021-05-26,3800,4474894
overview,United Kingdom,K02000001,2021-05-25,3308,4471094
overview,United Kingdom,K02000001,2021-05-24,3237,4467786
overview,United Kingdom,K02000001,2021-05-23,2241,4464549
overview,United Kingdom,K02000001,2021-05-22,1927,4462308
overview,United Kingdom,K02000001,2021-05-21,2293,4460381
overview,United Kingdom,K02000001,2021-05-20,2425,4458088
overview,United Kingdom,K02000001,2021-05-19,2713,4455663
overview,United Kingdom,K02000001,2021-05-18,2708,4452950
overview,United Kingdom,K02000001,2021-05-17,2764,4450242
overview,United Kingdom,K02000001,2021-05-16,1853,4447478
overview,United Kingdom,K02000001,2021-05-15,1584,4445625
overview,United Kingdom,K02000001,2021-05-14,1850,4444041
overview,United Kingdom,K02000001,2021-05-13,2097,4442191
overview,United Kingdom,K02000001,2021-05-12,2231,4440094
overview,United Kingdom,K02000001,2021-05-11,2200,4437863
overview,United Kingdom,K02000001,2021-05-10,2657,4435663
overview,United Kingdom,K02000001,2021-05-09,2172,4433006
overview,United Kingdom,K02000001,2021-05-08,1513,4430834
overview,United Kingdom,K02000001,2021-05-07,1884,4429321
overview,United Kingdom,K02000001,2021-05-06,2166,4427437
overview,United Kingdom,K02000001,2021-05-05,2399,4425271
overview,United Kingdom,K02000001,2021-05-04,2404,4422872
overview,United Kingdom,K02000001,2021-05-03,1973,4420468
overview,United Kingdom,K02000001,2021-05-02,1424,4418495
overview,United Kingdom,K02000001,2021-05-01,1357,4417071
overview,United Kingdom,K02000001,2021-04-30,1705,4415714
overview,United Kingdom,K02000001,2021-04-29,2083,4414009
overview,United Kingdom,K02000001,2021-04-28,2361,4411926
overview,United Kingdom,K02000001,2021-04-27,2057,4409565
overview,United Kingdom,K02000001,2021-04-26,2444,4407508
overview,United Kingdom,K02000001,2021-04-25,1990,4405064
