areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-11-23,10287,9974843,24,144286
overview,United Kingdom,K02000001,2021-11-22,41676,9964556,69,144262
overview,United Kingdom,K02000001,2021-11-21,35036,9922880,71,144193
overview,United Kingdom,K02000001,2021-11-20,33570,9887844,93,144122
overview,United Kingdom,K02000001,2021-11-19,38562,9854274,99,144029
overview,United Kingdom,K02000001,2021-11-18,43014,9815712,118,143930
overview,United Kingdom,K02000001,2021-11-17,44886,9772698,114,143812
overview,United Kingdom,K02000001,2021-11-16,45342,9727812,143,143698
overview,United Kingdom,K02000001,2021-11-15,49934,9682470,162,143555
overview,United Kingdom,K02000001,2021-11-14,34758,9632536,118,143393
overview,United Kingdom,K02000001,2021-11-13,32288,9597778,132,143275
overview,United Kingdom,K02000001,2021-11-12,36968,9565490,144,143143
overview,United Kingdom,K02000001,2021-11-11,40229,9528522,143,142999
overview,United Kingdom,K02000001,2021-11-10,42078,9488293,147,142856
overview,United Kingdom,K02000001,2021-11-09,41414,9446215,143,142709
overview,United Kingdom,K02000001,2021-11-08,43272,9404801,150,142566
overview,United Kingdom,K02000001,2021-11-07,29972,9361529,165,142416
overview,United Kingdom,K02000001,2021-11-06,26907,9331557,164,142251
overview,United Kingdom,K02000001,2021-11-05,29718,9304650,153,142087
overview,United Kingdom,K02000001,2021-11-04,32336,9274932,156,141934
overview,United Kingdom,K02000001,2021-11-03,35016,9242596,161,141778
overview,United Kingdom,K02000001,2021-11-02,37104,9207580,157,141617
overview,United Kingdom,K02000001,2021-11-01,44156,9170476,174,141460
overview,United Kingdom,K02000001,2021-10-31,34050,9126320,182,141286
overview,United Kingdom,K02000001,2021-10-30,32961,9092270,167,141104
overview,United Kingdom,K02000001,2021-10-29,39505,9059309,171,140937
overview,United Kingdom,K02000001,2021-10-28,40616,9019804,190,140766
overview,United Kingdom,K02000001,2021-10-27,42245,8979188,159,140576
overview,United Kingdom,K02000001,2021-10-26,41397,8936943,161,140417
overview,United Kingdom,K02000001,2021-10-25,46633,8895546,130,140256
overview,United Kingdom,K02000001,2021-10-24,35140,8848913,152,140126
overview,United Kingdom,K02000001,2021-10-23,34536,8813773,163,139974
overview,United Kingdom,K02000001,2021-10-22,39965,8779237,134,139811
overview,United Kingdom,K02000001,2021-10-21,44427,8739272,155,139677
overview,United Kingdom,K02000001,2021-10-20,50818,8694845,152,139522
overview,United Kingdom,K02000001,2021-10-19,51567,8644027,128,139370
overview,United Kingdom,K02000001,2021-10-18,56696,8592460,127,139242
overview,United Kingdom,K02000001,2021-10-17,42989,8535764,127,139115
overview,United Kingdom,K02000001,2021-10-16,37278,8492775,132,138988
overview,United Kingdom,K02000001,2021-10-15,42859,8455497,137,138856
overview,United Kingdom,K02000001,2021-10-14,45626,8412638,149,138719
overview,United Kingdom,K02000001,2021-10-13,46981,8367012,120,138570
overview,United Kingdom,K02000001,2021-10-12,47502,8320031,113,138450
overview,United Kingdom,K02000001,2021-10-11,49459,8272529,122,138337
overview,United Kingdom,K02000001,2021-10-10,35823,8223070,96,138215
overview,United Kingdom,K02000001,2021-10-09,31723,8187247,115,138119
overview,United Kingdom,K02000001,2021-10-08,35002,8155524,114,138004
overview,United Kingdom,K02000001,2021-10-07,37883,8120522,121,137890
overview,United Kingdom,K02000001,2021-10-06,38617,8082639,101,137769
overview,United Kingdom,K02000001,2021-10-05,38611,8044022,119,137668
overview,United Kingdom,K02000001,2021-10-04,43073,8005411,101,137549
overview,United Kingdom,K02000001,2021-10-03,31509,7962338,96,137448
overview,United Kingdom,K02000001,2021-10-02,25902,7930829,109,137352
