areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,09/11/2021,32,142331
overview,United Kingdom,K02000001,08/11/2021,100,142299
overview,United Kingdom,K02000001,07/11/2021,132,142199
overview,United Kingdom,K02000001,06/11/2021,125,142067
overview,United Kingdom,K02000001,05/11/2021,119,141942
overview,United Kingdom,K02000001,04/11/2021,138,141823
overview,United Kingdom,K02000001,03/11/2021,148,141685
overview,United Kingdom,K02000001,02/11/2021,150,141537
overview,United Kingdom,K02000001,01/11/2021,157,141387
overview,United Kingdom,K02000001,31/10/2021,173,141230
overview,United Kingdom,K02000001,30/10/2021,156,141057
overview,United Kingdom,K02000001,29/10/2021,164,140901
overview,United Kingdom,K02000001,28/10/2021,187,140737
overview,United Kingdom,K02000001,27/10/2021,159,140550
overview,United Kingdom,K02000001,26/10/2021,158,140391
overview,United Kingdom,K02000001,25/10/2021,127,140233
overview,United Kingdom,K02000001,24/10/2021,149,140106
overview,United Kingdom,K02000001,23/10/2021,160,139957
overview,United Kingdom,K02000001,22/10/2021,132,139797
overview,United Kingdom,K02000001,21/10/2021,152,139665
overview,United Kingdom,K02000001,20/10/2021,152,139513
overview,United Kingdom,K02000001,19/10/2021,128,139361
overview,United Kingdom,K02000001,18/10/2021,127,139233
overview,United Kingdom,K02000001,17/10/2021,127,139106
overview,United Kingdom,K02000001,16/10/2021,132,138979
overview,United Kingdom,K02000001,15/10/2021,136,138847
overview,United Kingdom,K02000001,14/10/2021,148,138711
overview,United Kingdom,K02000001,13/10/2021,119,138563
overview,United Kingdom,K02000001,12/10/2021,112,138444
overview,United Kingdom,K02000001,11/10/2021,123,138332
overview,United Kingdom,K02000001,10/10/2021,96,138209
overview,United Kingdom,K02000001,09/10/2021,115,138113
overview,United Kingdom,K02000001,08/10/2021,114,137998
overview,United Kingdom,K02000001,07/10/2021,121,137884
overview,United Kingdom,K02000001,06/10/2021,101,137763
overview,United Kingdom,K02000001,05/10/2021,119,137662
overview,United Kingdom,K02000001,04/10/2021,101,137543
overview,United Kingdom,K02000001,03/10/2021,96,137442
overview,United Kingdom,K02000001,02/10/2021,109,137346
overview,United Kingdom,K02000001,01/10/2021,129,137237
overview,United Kingdom,K02000001,30/09/2021,113,137108
overview,United Kingdom,K02000001,29/09/2021,124,136995
overview,United Kingdom,K02000001,28/09/2021,105,136871
overview,United Kingdom,K02000001,27/09/2021,114,136766
overview,United Kingdom,K02000001,26/09/2021,97,136652
overview,United Kingdom,K02000001,25/09/2021,124,136555
overview,United Kingdom,K02000001,24/09/2021,124,136431
overview,United Kingdom,K02000001,23/09/2021,137,136307
overview,United Kingdom,K02000001,22/09/2021,146,136170
overview,United Kingdom,K02000001,21/09/2021,120,136024
overview,United Kingdom,K02000001,20/09/2021,134,135904
overview,United Kingdom,K02000001,19/09/2021,126,135770
overview,United Kingdom,K02000001,18/09/2021,122,135644
overview,United Kingdom,K02000001,17/09/2021,171,135522
overview,United Kingdom,K02000001,16/09/2021,150,135351
overview,United Kingdom,K02000001,15/09/2021,142,135201
overview,United Kingdom,K02000001,14/09/2021,154,135059
overview,United Kingdom,K02000001,13/09/2021,109,134905
overview,United Kingdom,K02000001,12/09/2021,140,134796
overview,United Kingdom,K02000001,11/09/2021,137,134656
overview,United Kingdom,K02000001,10/09/2021,144,134519
overview,United Kingdom,K02000001,09/09/2021,162,134375
overview,United Kingdom,K02000001,08/09/2021,139,134213
overview,United Kingdom,K02000001,07/09/2021,155,134074
overview,United Kingdom,K02000001,06/09/2021,137,133919
overview,United Kingdom,K02000001,05/09/2021,155,133782
overview,United Kingdom,K02000001,04/09/2021,133,133627
overview,United Kingdom,K02000001,03/09/2021,149,133494
overview,United Kingdom,K02000001,02/09/2021,127,133345
overview,United Kingdom,K02000001,01/09/2021,118,133218
overview,United Kingdom,K02000001,31/08/2021,116,133100
overview,United Kingdom,K02000001,30/08/2021,106,132984
overview,United Kingdom,K02000001,29/08/2021,128,132878
overview,United Kingdom,K02000001,28/08/2021,124,132750
overview,United Kingdom,K02000001,27/08/2021,127,132626
overview,United Kingdom,K02000001,26/08/2021,116,132499
overview,United Kingdom,K02000001,25/08/2021,101,132383
overview,United Kingdom,K02000001,24/08/2021,113,132282
overview,United Kingdom,K02000001,23/08/2021,114,132169
overview,United Kingdom,K02000001,22/08/2021,116,132055
overview,United Kingdom,K02000001,21/08/2021,104,131939
overview,United Kingdom,K02000001,20/08/2021,117,131835
overview,United Kingdom,K02000001,19/08/2021,108,131718
overview,United Kingdom,K02000001,18/08/2021,98,131610
overview,United Kingdom,K02000001,17/08/2021,108,131512
overview,United Kingdom,K02000001,16/08/2021,78,131404
overview,United Kingdom,K02000001,15/08/2021,85,131326
overview,United Kingdom,K02000001,14/08/2021,93,131241
overview,United Kingdom,K02000001,13/08/2021,104,131148
overview,United Kingdom,K02000001,12/08/2021,107,131044
overview,United Kingdom,K02000001,11/08/2021,87,130937
overview,United Kingdom,K02000001,10/08/2021,81,130850
overview,United Kingdom,K02000001,09/08/2021,79,130769
overview,United Kingdom,K02000001,08/08/2021,79,130690
overview,United Kingdom,K02000001,07/08/2021,95,130611
overview,United Kingdom,K02000001,06/08/2021,93,130516
overview,United Kingdom,K02000001,05/08/2021,101,130423
overview,United Kingdom,K02000001,04/08/2021,79,130322
overview,United Kingdom,K02000001,03/08/2021,74,130243
overview,United Kingdom,K02000001,02/08/2021,79,130169
overview,United Kingdom,K02000001,01/08/2021,93,130090
overview,United Kingdom,K02000001,31/07/2021,89,129997
overview,United Kingdom,K02000001,30/07/2021,105,129908
overview,United Kingdom,K02000001,29/07/2021,77,129803
overview,United Kingdom,K02000001,28/07/2021,86,129726
overview,United Kingdom,K02000001,27/07/2021,72,129640
overview,United Kingdom,K02000001,26/07/2021,74,129568
overview,United Kingdom,K02000001,25/07/2021,71,129494
overview,United Kingdom,K02000001,24/07/2021,72,129423
overview,United Kingdom,K02000001,23/07/2021,81,129351
overview,United Kingdom,K02000001,22/07/2021,76,129270
overview,United Kingdom,K02000001,21/07/2021,54,129194
overview,United Kingdom,K02000001,20/07/2021,58,129140
overview,United Kingdom,K02000001,19/07/2021,83,129082
overview,United Kingdom,K02000001,18/07/2021,66,128999
