areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,09/11/2021,9213,9406001
overview,United Kingdom,K02000001,08/11/2021,37700,9396788
overview,United Kingdom,K02000001,07/11/2021,29375,9359088
overview,United Kingdom,K02000001,06/11/2021,26394,9329713
overview,United Kingdom,K02000001,05/11/2021,29569,9303319
overview,United Kingdom,K02000001,04/11/2021,32222,9273750
overview,United Kingdom,K02000001,03/11/2021,34929,9241528
overview,United Kingdom,K02000001,02/11/2021,37026,9206599
overview,United Kingdom,K02000001,01/11/2021,44099,9169573
overview,United Kingdom,K02000001,31/10/2021,34003,9125474
overview,United Kingdom,K02000001,30/10/2021,32905,9091471
overview,United Kingdom,K02000001,29/10/2021,39456,9058566
overview,United Kingdom,K02000001,28/10/2021,40555,9019110
overview,United Kingdom,K02000001,27/10/2021,42174,8978555
overview,United Kingdom,K02000001,26/10/2021,41332,8936381
overview,United Kingdom,K02000001,25/10/2021,46574,8895049
overview,United Kingdom,K02000001,24/10/2021,35096,8848475
overview,United Kingdom,K02000001,23/10/2021,34505,8813379
overview,United Kingdom,K02000001,22/10/2021,39927,8778874
overview,United Kingdom,K02000001,21/10/2021,44368,8738947
overview,United Kingdom,K02000001,20/10/2021,50790,8694579
overview,United Kingdom,K02000001,19/10/2021,51552,8643789
overview,United Kingdom,K02000001,18/10/2021,56689,8592237
overview,United Kingdom,K02000001,17/10/2021,42983,8535548
overview,United Kingdom,K02000001,16/10/2021,37259,8492565
overview,United Kingdom,K02000001,15/10/2021,42858,8455306
overview,United Kingdom,K02000001,14/10/2021,45627,8412448
overview,United Kingdom,K02000001,13/10/2021,46969,8366821
overview,United Kingdom,K02000001,12/10/2021,47476,8319852
overview,United Kingdom,K02000001,11/10/2021,49419,8272376
overview,United Kingdom,K02000001,10/10/2021,35801,8222957
overview,United Kingdom,K02000001,09/10/2021,31688,8187156
overview,United Kingdom,K02000001,08/10/2021,34981,8155468
overview,United Kingdom,K02000001,07/10/2021,37866,8120487
overview,United Kingdom,K02000001,06/10/2021,38595,8082621
overview,United Kingdom,K02000001,05/10/2021,38599,8044026
overview,United Kingdom,K02000001,04/10/2021,43045,8005427
overview,United Kingdom,K02000001,03/10/2021,31490,7962382
overview,United Kingdom,K02000001,02/10/2021,25903,7930892
overview,United Kingdom,K02000001,01/10/2021,28628,7904989
overview,United Kingdom,K02000001,30/09/2021,32010,7876361
overview,United Kingdom,K02000001,29/09/2021,34296,7844351
overview,United Kingdom,K02000001,28/09/2021,35927,7810055
overview,United Kingdom,K02000001,27/09/2021,40919,7774128
overview,United Kingdom,K02000001,26/09/2021,31524,7733209
overview,United Kingdom,K02000001,25/09/2021,27858,7701685
overview,United Kingdom,K02000001,24/09/2021,31605,7673827
overview,United Kingdom,K02000001,23/09/2021,35216,7642222
overview,United Kingdom,K02000001,22/09/2021,36158,7607006
overview,United Kingdom,K02000001,21/09/2021,38261,7570848
overview,United Kingdom,K02000001,20/09/2021,40116,7532587
overview,United Kingdom,K02000001,19/09/2021,30544,7492471
overview,United Kingdom,K02000001,18/09/2021,26304,7461927
overview,United Kingdom,K02000001,17/09/2021,29066,7435623
overview,United Kingdom,K02000001,16/09/2021,29175,7406557
overview,United Kingdom,K02000001,15/09/2021,29941,7377382
overview,United Kingdom,K02000001,14/09/2021,30939,7347441
overview,United Kingdom,K02000001,13/09/2021,34125,7316502
overview,United Kingdom,K02000001,12/09/2021,23668,7282377
overview,United Kingdom,K02000001,11/09/2021,23209,7258709
overview,United Kingdom,K02000001,10/09/2021,28731,7235500
overview,United Kingdom,K02000001,09/09/2021,33408,7206769
overview,United Kingdom,K02000001,08/09/2021,35235,7173361
overview,United Kingdom,K02000001,07/09/2021,38022,7138126
overview,United Kingdom,K02000001,06/09/2021,44142,7100104
overview,United Kingdom,K02000001,05/09/2021,31253,7055962
overview,United Kingdom,K02000001,04/09/2021,31362,7024709
overview,United Kingdom,K02000001,03/09/2021,38024,6993347
overview,United Kingdom,K02000001,02/09/2021,41631,6955323
overview,United Kingdom,K02000001,01/09/2021,42834,6913692
overview,United Kingdom,K02000001,31/08/2021,44477,6870858
overview,United Kingdom,K02000001,30/08/2021,34175,6826381
overview,United Kingdom,K02000001,29/08/2021,25692,6792206
overview,United Kingdom,K02000001,28/08/2021,27167,6766514
overview,United Kingdom,K02000001,27/08/2021,33180,6739347
overview,United Kingdom,K02000001,26/08/2021,36991,6706167
overview,United Kingdom,K02000001,25/08/2021,38097,6669176
overview,United Kingdom,K02000001,24/08/2021,37024,6631079
overview,United Kingdom,K02000001,23/08/2021,39045,6594055
overview,United Kingdom,K02000001,22/08/2021,28294,6555010
overview,United Kingdom,K02000001,21/08/2021,28092,6526716
overview,United Kingdom,K02000001,20/08/2021,31673,6498624
overview,United Kingdom,K02000001,19/08/2021,35827,6466951
overview,United Kingdom,K02000001,18/08/2021,38013,6431124
